metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716114451,1.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_duration,1716114451,995.276593,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_blocked,1716114451,1.088497,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_connecting,1716114451,1.002795,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_tls_handshaking,1716114451,0.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_sending,1716114451,0.151426,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_waiting,1716114451,994.974922,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_receiving,1716114451,0.150245,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_failed,1716114451,0.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
checks,1716114451,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716114451,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114451,1.000000,,,,,,,,,,,,,,,,
vus,1716114452,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114452,1.000000,,,,,,,,,,,,,,,,
data_sent,1716114452,1170.000000,,,,,,,,,default,,,,,,,
data_received,1716114452,1249.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716114452,2000.089689,,,,,,,,,default,,,,,,,
iterations,1716114452,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716114453,1.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_duration,1716114453,666.750598,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_blocked,1716114453,0.007721,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_connecting,1716114453,0.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_tls_handshaking,1716114453,0.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_sending,1716114453,0.090787,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_waiting,1716114453,666.583695,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_receiving,1716114453,0.076116,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_failed,1716114453,0.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
checks,1716114453,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716114453,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114453,1.000000,,,,,,,,,,,,,,,,
data_sent,1716114454,1162.000000,,,,,,,,,default,,,,,,,
data_received,1716114454,1249.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716114454,1672.212944,,,,,,,,,default,,,,,,,
iterations,1716114454,1.000000,,,,,,,,,default,,,,,,,
vus,1716114454,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114454,1.000000,,,,,,,,,,,,,,,,
http_reqs,1716114454,1.000000,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
http_req_duration,1716114454,666.818354,,,,true,,POST,http://localhost:8000/answer/,HTTP/1.1,default,,302,,,http://localhost:8000/answer/,,
