metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716113755,1.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_duration,1716113755,222.308774,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_blocked,1716113755,0.182220,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_connecting,1716113755,0.101250,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_tls_handshaking,1716113755,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_sending,1716113755,0.046571,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_waiting,1716113755,222.141034,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_receiving,1716113755,0.121169,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_failed,1716113755,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
checks,1716113755,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113756,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113756,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113756,1075.000000,,,,,,,,,default,,,,,,,
data_received,1716113756,860.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113756,1223.948805,,,,,,,,,default,,,,,,,
iterations,1716113756,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113756,1.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_duration,1716113756,126.887255,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_blocked,1716113756,0.002763,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_connecting,1716113756,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_tls_handshaking,1716113756,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_sending,1716113756,0.015670,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_waiting,1716113756,126.813099,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_receiving,1716113756,0.058486,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_failed,1716113756,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
checks,1716113756,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113757,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113757,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113757,1067.000000,,,,,,,,,default,,,,,,,
data_received,1716113757,860.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113757,1128.412876,,,,,,,,,default,,,,,,,
iterations,1716113757,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113757,1.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_duration,1716113757,132.234720,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_blocked,1716113757,0.004981,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_connecting,1716113757,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_tls_handshaking,1716113757,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_sending,1716113757,0.028632,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_waiting,1716113757,132.132146,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_receiving,1716113757,0.073942,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_failed,1716113757,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
checks,1716113757,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113758,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113758,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113758,1075.000000,,,,,,,,,default,,,,,,,
data_received,1716113758,860.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113758,1134.308408,,,,,,,,,default,,,,,,,
